sub_4084D0 | UbiArt_WinMain                         | WinMain
sub_4017E0 | UbiArt_InitEngineContext               | Initializes the UbiArt engine context structure (VTable, flags, TLS) and calls internal setup routine.
sub_407070 | GetUTF8BufferSize                      | Calculates required buffer size (in bytes) to convert a UTF-16 string to UTF-8, including null terminator. Handles surrogate pairs.
sub_4070E0 | ConvertUTF16toUTF8                     | Converts a UTF-16 string to UTF-8 and writes up to a3 bytes into destination buffer. Stops when buffer full or string ends.
sub_406220 | SetRendererString                      | Copies a string (e.g., "directx9") into a dynamic buffer within the graphics settings structure. Manages memory allocation.
sub_8A4650 | ReleaseEngineResource                  | Decrements a reference count using atomic operations; if count reaches zero, releases associated engine resource.
sub_8A1DA0 | UbiArt_Shutdown                        | Performs final cleanup and deallocation of engine resources. Checks TLS and internal flags to choose correct shutdown path.
sub_401FA0 | UbiArt_EngineMain                      | Main engine entry point: initializes graphics (DirectX9), loads world data, sets up input, sound, and runs the game loop. Handles version check and shutdown. NOTE: The main game loop is likely inside one of the virtual functions called via `a3` (a VTable-like structure). Frequent calls like (*(void (__thiscall **)(_DWORD *))(*a3 + 36))(a3) are virtual method invocations. These will need deeper analysis to locate the actual render/update loop.
sub_8A2DD0 | IsConfigOptionEnabled                  | Returns true if a boolean config option (by name) is not "0" and not the default "false" string. Uses a key-value lookup via FindConfigKeyIndex, then checks value against "0" and Source (likely "false"/"no").
sub_405190 | GetCompatibleRenderMode                | Determines the render mode based on engine version and screen resolution. If D3D device has a specific state (a1+32 == 16 and renderer type == 10), forces mode 10. Also handles a fallback string from dword_DDF9EC+280.
sub_58CF50 | InitFeedbackAndRunCallback             | Initializes the "col_feedbacks" system (probably color feedbacks or UI callbacks). Calls GetOrCreateColFeedbackObject to set a function pointer in the engine context (a1+160). This might be part of the main loop setup, but not the loop itself. NOTE: Look inside GetOrCreateColFeedbackObject for the actual loop or tick function.
sub_73C410 | InitSchedulerAndEventSystem            | Allocates a scheduler context (284 bytes) via sub_856250, stores it at a1+368. Registers a callback (sub_856500) with the engine's dispatcher (dword_DDE840). Returns a handle stored in the first field of the allocated structure.
sub_4068A0 | RegisterEngineCallbacks                | Registers three core engine callbacks/handlers into a table at a1+36: - Index 0, size 94, handler sub_4065C0 - Index 1, size 21, handler sub_406720 - Index 2, size 20, handler sub_4067E0 Uses sub_7306E0 (likely an array or vector insertion).
